Nombre,Posicion,Equipo,Asistencias, PasesAcertados, PasesPorPartido, ToquesPorPartido, CambiosDeJuego
Fernando Navarro,LD,León,4,87.00%,43,62,46.00%
Alan Mozo,LD,Pumas,3,69.00%,31,58,19.00%
Jorge Sánchez,LD,América,2,80.00%,35,64,23.00%
Juan Escobar,LD,Cruz Azul,0,83.00%,32,57,22.00%
Stefan Medina,LD,Monterrey,0,81.00%,39,57,22.00%
Chaka Rodriguez,LD,Tigres,2,86.00%,51,74,28.00%
Chapo Sanchez,LD,Chivas,0,Sii,43,66,23.00%
Van Rankin,LD,Santos,n/a,n/a,n/a,n/a,n/a
Kevin Alvarez,LD,Pachuca,0,80.00%,34,62,16.00%
Julio Gonzalez,LD,Necaxa,0,80.00%,37,51,14.00%
Dedos Lopez,LD,Toluca,1,82.00%,29,53,18.00%
George Corral,LD,Puebla,1,78.00%,34,56,31.00%
Luis Hernandez,LD,Juarez,0,71.00%,41,71,0.00%
Israel Jimenez,LD,Mazatlan,0,86.00%,41,56,0.00%
Vladimir Loroña,LD,Tijuana,0,81.00%,34,61,11.00%
Abella,LD,Atlas,0,78.00%,41,59,57.00%
Irving Zurita,LD,Queretaro ,n/a,n/a,n/a,n/a,n/a
Camilo Mayada,LD,San Luis ,1,82.00%,34,50,46.00%
